filename,style,age,race
male_photo_07_elderly_22_r8c1.png,,YoungAdult,Asian
male_photo_07_elderly_23_r8c2.png,,Adult,MiddleEastern
male_photo_07_elderly_24_r8c3.png,,YoungAdult,MiddleEastern
male_photo_07_elderly_25_r9c1.png,,Adult,White
male_photo_07_elderly_26_r9c2.png,,YoungAdult,MiddleEastern
male_photo_07_elderly_27_r9c3.png,,YoungAdult,MiddleEastern
row001_col01_male.png,RetroManga,Teen,White
row001_col02_male.png,Anime,YoungAdult,White
row001_col03_male.png,RetroManga,Adult,White
row001_col04_male.png,Anime,Teen,White
row001_col05_male.png,RetroManga,YoungAdult,Asian
row001_col06_male.png,RetroManga,Teen,Asian
row001_col07_male.png,Painterly,Teen,White
row001_col08_male.png,RetroManga,YoungAdult,White
row001_col09_male.png,RetroManga,YoungAdult,White
row001_col10_male.png,RetroManga,Teen,White
row001_col11_male.png,Anime,YoungAdult,Asian
row001_col12_male.png,Anime,YoungAdult,MiddleEastern
row001_col13_male.png,Anime,Teen,Asian
row001_col14_male.png,Anime,YoungAdult,White
row001_col15_male.png,RetroManga,Adult,White
row001_col16_male.png,RetroManga,Child,Asian
row001_col17_male.png,Pastel,Adult,Asian
row001_col18_male.png,Anime,Teen,White
row001_col19_male.png,RetroManga,Child,MiddleEastern
row001_col20_male.png,RetroManga,Teen,Asian
row002_col01_female.png,Anime,Adult,White
row002_col02_female.png,RetroManga,Adult,White
row002_col03_female.png,RetroManga,Adult,Asian
row002_col04_female.png,RetroManga,Adult,Asian
row002_col05_female.png,RetroManga,Teen,White
row002_col06_female.png,RetroManga,Adult,Asian
row002_col07_female.png,Pastel,YoungAdult,White
row002_col08_female.png,RetroManga,Adult,White
row002_col09_female.png,RetroManga,Adult,White
row002_col10_female.png,Anime,YoungAdult,White
row002_col11_female.png,RetroManga,Adult,White
row002_col12_female.png,RetroManga,YoungAdult,White
row002_col13_female.png,RetroManga,YoungAdult,White
row002_col14_female.png,RetroManga,Adult,White
row002_col15_female.png,Anime,Teen,White
row002_col16_female.png,RetroManga,Adult,Asian
row002_col17_female.png,Painterly,YoungAdult,White
row002_col18_female.png,RetroManga,Adult,White
row002_col19_female.png,RetroManga,YoungAdult,White
row002_col20_female.png,RetroManga,YoungAdult,White
row003_col01_male.png,Anime,YoungAdult,White
row003_col02_male.png,RetroManga,Teen,White
row003_col03_male.png,Anime,Teen,White
row003_col04_male.png,Anime,YoungAdult,Asian
row003_col05_male.png,Anime,Teen,Asian
row003_col06_male.png,Painterly,Teen,White
row003_col07_male.png,RetroManga,Adult,White
row003_col08_male.png,Anime,Teen,MiddleEastern
row003_col09_male.png,RetroManga,Child,White
row003_col10_male.png,Painterly,Child,Asian
row003_col11_male.png,Painterly,YoungAdult,White
row003_col12_male.png,Anime,YoungAdult,White
row003_col13_male.png,Painterly,YoungAdult,White
row003_col14_male.png,Painterly,Child,White
row003_col15_male.png,Painterly,Teen,White
row003_col16_male.png,Anime,YoungAdult,White
row003_col17_male.png,Anime,YoungAdult,White
row003_col18_male.png,Anime,YoungAdult,White
row003_col19_male.png,RetroManga,YoungAdult,White
row003_col20_male.png,RetroManga,Adult,Asian
row004_col01_female.png,Painterly,Teen,White
row004_col02_female.png,RetroManga,YoungAdult,Asian
row004_col03_female.png,Painterly,Adult,Asian
row004_col04_female.png,Anime,Adult,White
row004_col05_female.png,Anime,YoungAdult,White
row004_col06_female.png,Anime,Adult,White
row004_col07_female.png,Anime,YoungAdult,White
row004_col08_female.png,Anime,YoungAdult,Asian
row004_col09_female.png,Anime,YoungAdult,White
row004_col10_female.png,Anime,Adult,White
row004_col11_female.png,Anime,YoungAdult,White
row004_col12_female.png,Painterly,Teen,White
row004_col13_female.png,Anime,Adult,Asian
row004_col14_female.png,Anime,Teen,White
row004_col15_female.png,Anime,Adult,White
row004_col16_female.png,Anime,Adult,White
row004_col17_female.png,Anime,YoungAdult,White
row004_col18_female.png,Anime,YoungAdult,White
row004_col19_female.png,Painterly,Child,White
row004_col20_female.png,Anime,Adult,Asian
row005_col01_male.png,Painterly,Child,Hispanic
row005_col02_male.png,Painterly,Teen,White
row005_col03_male.png,Painterly,YoungAdult,White
row005_col04_male.png,Painterly,Teen,White
row005_col05_male.png,Painterly,Teen,White
row005_col06_male.png,Painterly,Teen,White
row005_col07_male.png,Painterly,Child,Hispanic
row005_col08_male.png,Painterly,Teen,White
row005_col09_male.png,Painterly,YoungAdult,White
row005_col10_male.png,Painterly,Teen,White
row005_col11_male.png,Painterly,Child,White
row005_col12_male.png,Photo,Teen,White
row005_col13_male.png,Painterly,Teen,White
row005_col14_male.png,Photo,Teen,White
row005_col15_male.png,Painterly,Teen,White
row005_col16_male.png,Painterly,Teen,White
row005_col17_male.png,Painterly,Teen,White
row005_col18_male.png,Painterly,Child,White
row005_col19_male.png,Painterly,Child,Hispanic
row005_col20_male.png,Painterly,Teen,White
row006_col01_female.png,Photo,Teen,White
row006_col02_female.png,Photo,Teen,White
row006_col03_female.png,Painterly,YoungAdult,White
